date,min_temperature_(celcius),max_temperature_(celcius),avg_temperature_(celcius)
1951-01-01,20.25,29.01,24.630000000000003
1951-01-02,19.97,28.5,24.235
1951-01-03,18.68,28.67,23.675
1951-01-04,18.75,28.56,23.655
1951-01-05,18.35,28.62,23.485
1951-01-06,17.01,28.22,22.615000000000002
1951-01-07,17.48,28.23,22.855
1951-01-08,20.52,28.01,24.265
1951-01-09,19.09,27.89,23.490000000000002
1951-01-10,18.68,29.11,23.895
1951-01-11,18.7,28.63,23.665
1951-01-12,18.16,28.78,23.47
1951-01-13,19.4,29.41,24.405
1951-01-14,20.06,28.71,24.384999999999998
1951-01-15,20.83,29.05,24.939999999999998
1951-01-16,22.32,28.99,25.655
1951-01-17,22.08,30.2,26.14
1951-01-18,21.11,29.76,25.435000000000002
1951-01-19,21.11,29.44,25.275
1951-01-20,21.44,30.24,25.84
1951-01-21,21.28,30.76,26.020000000000003
1951-01-22,20.09,30.01,25.05
1951-01-23,20.91,29.78,25.345
1951-01-24,21.01,28.69,24.85
1951-01-25,20.27,29.86,25.064999999999998
1951-01-26,19.56,29.93,24.744999999999997
1951-01-27,17.36,29.7,23.53
1951-01-28,17.07,29.62,23.345
1951-01-29,17.74,29.84,23.79
1951-01-30,17.98,29.45,23.715
1951-01-31,18.07,29.39,23.73
1951-02-01,18.06,29.45,23.755
1951-02-02,18.49,29.59,24.04
1951-02-03,19.27,30.15,24.71
1951-02-04,20.13,30.34,25.235
1951-02-05,19.32,30.06,24.689999999999998
1951-02-06,19.2,30.39,24.795
1951-02-07,19.12,30.19,24.655
1951-02-08,19.77,29.92,24.845
1951-02-09,20.19,30.15,25.17
1951-02-10,20.16,30.17,25.165
1951-02-11,19.9,30.99,25.445
1951-02-12,19.94,31.06,25.5
1951-02-13,18.97,31.69,25.33
1951-02-14,18.51,32.03,25.270000000000003
1951-02-15,18.26,32.01,25.134999999999998
1951-02-16,19.4,32.38,25.89
1951-02-17,20.05,31.59,25.82
1951-02-18,18.37,31.07,24.72
1951-02-19,18.42,31.68,25.05
1951-02-20,18.6,32.55,25.575
1951-02-21,19.76,32.21,25.985
1951-02-22,17.79,31.73,24.759999999999998
1951-02-23,17.47,31.74,24.604999999999997
1951-02-24,18.39,32.25,25.32
1951-02-25,18.31,32.31,25.310000000000002
1951-02-26,19.23,33.0,26.115000000000002
1951-02-27,18.38,33.2,25.79
1951-02-28,18.9,33.46,26.18
1951-03-01,19.36,34.21,26.785
1951-03-02,19.38,34.47,26.924999999999997
1951-03-03,19.9,32.81,26.355
1951-03-04,20.04,31.69,25.865000000000002
1951-03-05,20.56,34.04,27.299999999999997
1951-03-06,19.64,33.31,26.475
1951-03-07,20.21,33.85,27.03
1951-03-08,20.29,32.56,26.425
1951-03-09,20.19,33.53,26.86
1951-03-10,20.98,33.68,27.33
1951-03-11,20.13,33.72,26.924999999999997
1951-03-12,20.21,34.95,27.580000000000002
